index,Letter Value,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
784,12,6,10,7,8,4,7,7,13,2,8,9,8,9,6,0,8
11864,15,5,10,6,7,5,5,11,5,5,11,9,3,1,10,4,7
15879,23,4,10,6,8,4,7,7,4,9,6,6,8,3,8,7,7
14065,9,3,8,5,6,2,8,5,4,5,14,7,12,1,6,0,7
5956,22,7,9,7,4,3,6,10,2,2,8,10,7,8,12,1,7
3393,20,6,7,7,5,3,4,9,5,8,11,11,9,3,9,2,7
8726,0,2,8,4,5,1,8,6,3,1,7,0,8,2,7,1,8
2761,19,4,7,5,5,2,6,11,2,8,11,9,5,1,11,3,4
7081,25,4,8,4,6,4,8,7,5,9,7,5,7,2,8,8,8
8323,2,3,7,4,5,2,6,6,6,10,8,5,12,1,9,4,8
4361,16,4,5,5,8,3,8,7,8,6,5,6,8,3,8,5,9
9977,12,4,5,7,3,4,9,6,3,5,9,4,7,10,6,2,8
5471,14,5,9,6,6,4,8,6,8,4,7,4,8,3,8,3,8
13506,25,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8
11521,1,4,8,6,6,5,8,7,5,6,9,5,6,3,8,7,9
8430,3,4,7,4,5,4,6,7,9,7,6,4,6,2,8,3,8
6305,6,3,8,4,6,2,7,6,7,7,6,6,10,1,8,6,11
2403,20,5,5,6,7,2,7,4,14,6,7,15,8,3,9,0,8
4959,18,4,8,4,6,4,8,8,5,7,5,5,7,0,8,8,8
1233,9,4,10,5,7,3,8,6,3,6,14,4,9,0,6,1,7
9121,17,5,5,6,7,3,6,11,9,4,7,3,8,3,7,6,11
4124,21,5,9,5,6,3,2,11,2,3,10,11,8,2,11,1,8
11635,7,4,9,5,7,4,7,8,13,1,7,5,8,3,8,0,8
7294,8,5,10,6,8,3,9,6,2,7,7,6,5,0,8,4,7
14895,17,4,7,5,5,4,8,9,6,6,8,5,8,3,7,6,11
7877,8,2,6,3,4,1,7,7,0,8,14,6,8,0,8,1,8
8664,13,3,7,4,5,4,9,8,6,5,6,5,4,5,9,2,5
12345,0,5,11,8,8,4,10,2,2,3,9,1,8,3,7,4,8
14697,11,5,11,7,8,4,6,4,0,9,8,2,11,0,7,2,8
4901,24,3,5,4,6,5,8,10,6,4,7,7,6,4,10,6,3
13564,25,4,9,4,6,2,7,7,4,14,9,6,8,0,8,8,8
14461,10,3,8,4,6,2,3,7,8,3,7,6,11,4,8,3,11
10138,11,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8
4847,16,4,6,5,7,5,8,5,7,3,6,5,9,3,8,5,9
14550,24,5,8,5,6,3,3,10,2,7,11,11,6,1,11,2,5
8358,23,6,10,9,8,5,8,7,0,8,10,5,8,3,8,3,8
15842,15,6,9,8,6,5,9,8,5,6,12,4,4,5,9,5,7
2768,8,1,10,2,8,2,7,7,0,8,7,6,8,0,8,3,8
11859,15,4,10,5,7,3,5,10,10,4,9,6,5,2,10,4,8
14230,5,5,11,5,8,2,1,11,5,7,11,11,9,0,8,2,6
2564,9,7,10,5,8,4,7,10,3,2,12,5,5,2,9,8,9
8963,12,6,9,7,4,3,8,10,4,5,5,5,8,8,8,2,7
3508,4,3,7,3,5,2,3,7,6,10,7,6,15,0,8,7,7
14948,9,3,5,5,4,2,8,6,3,7,15,5,10,1,6,1,7
2383,11,3,7,4,5,3,5,4,5,7,2,2,5,1,6,1,5
6271,11,3,6,4,4,2,7,3,2,9,7,1,9,0,7,2,8
4921,25,4,7,6,5,4,9,6,2,8,11,4,10,2,7,6,10
3542,15,3,4,4,6,2,3,14,7,2,11,7,3,0,10,4,8
10262,12,5,9,6,6,6,8,5,11,0,6,9,8,7,5,0,7
3733,3,4,9,5,6,4,8,7,6,6,10,5,5,3,8,3,8
3585,23,6,9,9,6,4,5,8,2,8,11,11,9,3,9,4,5
12116,11,5,10,5,5,2,7,4,3,6,11,4,13,2,6,6,8
5969,5,4,6,6,4,3,5,12,4,5,13,7,4,2,10,2,6
8797,20,6,7,7,5,4,4,8,5,7,9,8,9,3,9,3,5
6595,13,4,10,4,8,3,7,7,14,2,5,6,8,6,8,0,8
14217,10,6,10,8,8,5,6,6,2,7,10,6,10,4,8,4,8
15321,22,6,8,6,6,5,4,10,2,3,9,9,8,7,11,2,6
855,18,5,8,7,6,4,5,8,4,6,10,9,8,2,8,5,4
6241,9,3,7,4,5,2,8,6,3,6,15,5,9,0,7,0,7
8183,24,6,11,9,8,5,9,10,0,8,4,11,7,1,10,2,9
13606,18,3,6,5,4,5,8,7,4,3,8,5,8,4,9,10,10
4415,6,4,7,6,5,3,5,5,5,7,6,5,9,2,10,4,7
11104,17,4,6,6,4,5,8,7,7,3,8,5,7,4,7,7,10
5435,1,3,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10
9770,0,3,11,5,8,4,8,5,3,0,7,1,8,2,7,3,8
11119,13,5,9,8,7,5,7,9,2,4,10,5,6,5,9,1,7
1688,23,4,8,6,6,4,7,7,3,9,5,6,8,3,8,7,8
5623,1,8,14,7,8,6,10,7,3,6,10,4,7,6,6,7,9
14045,19,3,11,4,8,1,6,14,0,6,8,11,8,0,8,0,8
14981,8,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
6626,10,5,8,7,6,6,7,7,1,6,10,5,9,3,7,4,8
993,22,5,7,7,5,3,4,8,5,1,7,9,8,8,10,0,8
10388,11,6,12,5,7,4,5,6,3,6,12,8,12,3,7,7,8
12198,5,3,7,5,5,2,3,12,4,4,13,9,5,1,10,2,6
430,25,5,8,7,6,4,5,10,3,10,11,9,6,1,9,6,5
7146,12,5,10,8,8,6,12,6,2,4,9,3,6,8,6,2,8
4953,8,4,11,6,8,3,7,7,0,8,14,6,8,0,8,1,8
6070,2,7,10,7,7,4,3,8,5,7,11,10,13,1,9,3,7
8547,10,6,9,9,8,8,8,6,2,4,7,4,9,7,4,9,12
14723,21,4,8,4,6,3,4,11,2,2,9,10,8,3,12,1,8
10138,11,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8
1156,5,2,7,3,5,1,1,12,4,4,12,10,7,0,8,2,6
7870,12,4,6,5,4,4,8,6,6,5,7,7,8,7,5,2,8
7784,19,6,11,5,6,2,5,10,2,7,13,7,5,2,8,4,4
235,5,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5
7179,10,6,11,9,8,6,2,9,3,7,11,12,12,3,8,4,5
2303,6,3,8,5,6,4,6,6,6,6,7,5,11,2,10,4,9
4759,21,6,10,6,7,4,4,12,1,2,8,10,7,6,12,2,7
7684,2,6,12,5,6,4,7,9,4,5,8,7,9,4,8,8,10
5173,6,7,11,8,8,6,6,6,7,7,9,8,11,2,11,5,9
5298,19,2,5,4,7,1,5,14,1,6,9,11,7,0,8,0,8
12013,11,4,9,4,6,2,0,2,4,6,1,0,7,0,8,0,8
13207,15,4,9,6,7,5,7,10,4,4,12,5,3,1,10,3,8
5473,24,6,6,5,9,4,7,7,4,3,6,11,6,4,11,6,6
813,0,3,6,5,4,2,9,2,2,2,7,1,8,2,7,3,7
11136,12,7,11,11,8,15,9,7,3,3,8,5,7,12,4,5,5
9232,16,4,7,6,8,6,8,5,8,4,6,5,9,4,9,6,8
5997,20,6,10,9,8,5,4,9,7,9,9,11,10,3,9,1,7
161,22,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7
14936,21,4,9,6,7,2,8,8,5,3,6,14,8,3,9,0,8
1779,0,3,8,5,5,2,7,5,3,1,6,1,8,2,7,2,7
1076,16,6,12,6,6,4,11,4,4,6,12,3,9,3,9,7,12
1839,2,4,9,6,7,4,5,8,6,6,8,8,15,3,10,4,9
13175,23,4,8,6,6,3,9,7,1,8,10,2,7,3,8,4,9
15287,22,4,9,7,6,5,7,8,4,1,7,9,8,7,11,0,8
11663,5,4,9,6,6,6,11,6,2,5,10,5,6,5,9,4,7
9979,18,6,11,6,6,3,6,8,5,3,13,9,8,3,10,3,8
14018,14,3,9,4,6,4,7,7,8,6,7,7,8,2,8,3,7
4650,11,3,7,4,5,2,6,4,1,9,8,2,11,0,7,2,8
4503,13,4,7,6,5,4,7,9,6,5,7,6,6,5,9,1,6
1964,15,3,7,5,10,8,7,12,4,1,9,8,5,4,11,4,8
6321,2,3,8,4,6,2,5,8,7,7,7,8,14,1,9,4,10
7068,12,9,14,11,8,7,5,4,4,3,7,4,10,10,1,2,8
12911,23,3,8,5,6,3,8,7,4,9,6,6,6,3,8,7,7
9608,3,5,9,7,6,6,9,7,3,6,11,5,6,4,7,4,8
15151,23,4,9,5,7,3,7,7,4,4,7,6,7,3,8,4,8
3046,18,3,7,5,5,6,7,5,3,3,6,5,7,3,8,9,3
13817,12,8,10,10,6,5,9,3,3,2,9,3,10,8,1,2,9
15387,23,4,9,6,7,5,8,6,3,5,6,7,7,2,8,9,9
11552,17,4,8,6,6,5,9,8,4,6,8,3,8,4,5,5,11
5515,19,6,8,6,6,4,7,11,3,8,12,9,4,2,12,3,4
3491,18,7,12,6,7,3,9,3,4,4,9,2,8,3,6,5,9
164,4,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9
12620,3,4,8,6,6,8,9,8,4,5,7,6,6,4,6,7,5
10014,13,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7
7885,5,5,9,7,7,4,6,10,2,6,13,7,5,1,10,2,7
7465,9,3,11,4,8,4,10,7,0,7,11,3,6,0,7,1,7
5139,2,6,10,6,8,4,4,7,6,6,13,10,12,2,11,3,7
11482,18,4,8,5,6,4,8,7,7,7,7,6,8,2,9,9,8
4532,12,5,8,8,6,5,3,7,4,5,11,12,11,6,9,3,7
1361,19,6,13,5,7,2,6,9,3,7,13,6,6,2,8,4,4
13341,24,6,8,6,6,4,4,9,1,8,11,10,6,1,10,2,4
7418,24,3,5,5,7,7,9,6,4,1,6,7,8,6,10,8,9
12373,23,4,11,6,8,4,7,8,3,9,6,5,6,4,10,8,6
5502,20,11,14,9,8,4,4,3,5,5,4,7,7,6,6,2,6
3173,11,6,11,8,8,10,7,7,3,6,6,7,11,6,11,7,5
2697,21,9,11,7,6,4,9,9,6,5,6,10,5,6,13,3,7
15244,8,2,10,2,8,3,7,7,0,8,7,6,8,0,8,3,8
8047,19,4,8,5,6,3,6,11,3,7,9,11,7,5,12,1,7
15653,25,5,8,7,6,4,8,7,2,9,12,5,8,2,8,6,8
15949,12,5,8,7,6,7,8,6,6,5,7,7,10,11,6,2,9
10600,10,4,5,7,4,3,6,6,2,7,10,8,11,4,7,4,7
15191,12,6,12,8,7,5,13,2,5,2,11,1,9,7,2,1,8
11733,16,5,8,6,10,7,7,10,4,2,6,9,11,3,9,6,8
12660,24,3,9,5,6,1,7,10,2,3,7,13,8,1,11,0,8
12124,19,5,10,7,8,4,5,12,3,8,8,12,8,1,12,1,7
13826,16,4,8,5,6,5,8,4,7,4,6,6,11,2,8,3,9
2495,20,7,10,6,5,3,6,6,4,5,4,8,7,5,8,2,6
14323,21,4,8,6,6,3,6,12,3,3,6,12,9,3,10,1,8
5164,4,5,7,7,5,4,6,7,4,9,12,8,9,2,8,5,7
13907,9,3,11,4,9,3,9,7,2,7,11,3,7,1,6,2,6
11424,20,3,8,5,6,3,4,8,7,7,9,10,11,3,9,0,8
6618,23,4,8,6,7,6,9,9,2,6,7,5,6,2,5,7,7
15083,4,4,6,6,6,6,6,8,4,4,8,7,9,4,11,8,10
7588,20,4,9,5,7,2,7,5,14,5,7,14,7,3,9,0,8
2996,11,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8
1973,22,4,9,5,6,6,7,6,6,2,7,7,8,6,8,4,8
2912,24,6,9,5,4,3,6,8,3,4,10,8,5,3,10,4,4
10989,12,6,10,8,8,9,8,7,5,5,6,7,7,11,7,4,6
13939,1,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9
6500,21,7,13,6,7,3,8,10,6,4,8,10,5,6,13,3,8
1473,25,7,10,5,14,5,5,11,3,3,12,8,6,3,8,12,5
1490,13,4,8,6,6,4,5,9,2,3,9,8,8,5,8,1,7
5678,11,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8
13,12,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
8974,10,5,9,7,6,5,4,7,2,7,10,10,12,3,8,3,6
8111,13,5,10,7,7,8,7,8,3,5,7,6,7,7,8,8,2
11264,4,3,7,3,5,3,3,8,4,8,7,6,13,0,8,6,9
11171,12,5,11,5,8,7,7,5,11,1,8,8,8,9,5,2,10
2735,15,3,6,4,9,8,8,9,5,0,8,7,6,5,10,3,7
68,24,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
12097,2,4,8,4,6,3,6,8,6,7,12,8,12,2,10,3,8
11856,21,5,9,5,6,3,2,12,4,3,11,12,8,3,10,1,7
3503,2,4,8,6,6,5,5,6,4,5,8,6,11,6,9,4,8
15152,1,4,8,5,6,4,6,7,9,7,7,6,7,2,8,9,9
14077,25,4,5,6,7,5,11,5,3,5,9,3,7,2,7,6,9
8292,1,5,10,7,7,6,9,6,4,7,9,5,7,2,8,6,10
1767,18,6,9,7,6,4,8,8,4,10,11,4,7,2,6,5,9
12178,13,4,9,4,6,2,7,7,14,2,5,6,8,6,8,0,8
12754,20,5,7,5,5,3,4,8,6,7,9,9,9,3,9,2,5
14109,20,3,9,4,7,2,7,6,14,5,8,13,7,3,9,0,8
9353,3,4,9,5,6,5,7,7,6,6,7,6,5,3,8,3,7
471,9,3,10,5,7,5,9,8,3,3,8,4,6,4,8,6,5
8696,6,6,8,6,6,5,6,7,6,6,9,7,11,2,9,4,9
9982,5,4,7,6,5,5,7,9,6,5,8,6,8,3,10,8,10
4250,7,7,10,10,8,9,7,8,3,6,10,6,7,3,8,3,8
3793,22,8,10,11,9,14,7,7,5,5,6,5,8,11,9,10,9
437,22,4,6,7,4,4,9,11,2,3,5,9,8,7,11,1,8
8130,12,7,11,9,8,10,7,10,7,5,7,7,9,8,10,7,12
5493,16,5,7,7,10,9,9,9,5,0,6,7,10,8,14,5,11
8452,15,6,7,8,9,9,6,8,4,3,9,8,6,6,11,6,6
4085,12,5,10,8,7,10,12,4,3,1,9,4,9,10,6,3,8
10884,8,7,12,5,7,3,10,5,4,5,12,3,7,3,8,5,10
6299,7,6,11,6,8,6,8,5,14,2,7,9,8,3,9,0,8
3607,12,5,8,7,6,6,4,7,3,4,10,10,10,5,6,2,6
12261,16,7,10,9,8,8,8,5,8,4,6,7,8,4,6,7,8
6616,15,4,8,6,6,3,6,11,5,4,12,5,3,1,10,3,8
